OldDamAssetId,RunnerId,NewDamAssetId
2328280,5319791,5319791rid
2328278,5319790,5319790rid
2328277,5319789,5319789rid
2328276,5319788,5319788rid
2328275,5319787,5319787rid
2328274,5319786,5319786rid
2328273,5319785,5319785rid
2328272,5319784,5319784rid
2328271,5319783,5319783rid
2328270,5319782,5319782rid
2327375,5319781,5319781rid
2327362,5319780,5319780rid
2327359,5319779,5319779rid
2327358,5319778,5319778rid
2327357,5319777,5319777rid
2327356,5319776,5319776rid
2327355,5319775,5319775rid
2327354,5319774,5319774rid
2327352,5319773,5319773rid
2327351,5319772,5319772rid
2327349,5319771,5319771rid
2327348,5319770,5319770rid
2327347,5319769,5319769rid
2327346,5319768,5319768rid
2327344,5319767,5319767rid
2327343,5319766,5319766rid
2327342,5319765,5319765rid
2327341,5319764,5319764rid
2327340,5319763,5319763rid
2327339,5319762,5319762rid
2327338,5319761,5319761rid
2327337,5319760,5319760rid
2327334,5319759,5319759rid
2326798,5319758,5319758rid
2326796,5319757,5319757rid
2326795,5319756,5319756rid
2326794,5319755,5319755rid
2326793,5319754,5319754rid
2326792,5319753,5319753rid
2326791,5319752,5319752rid
2326789,5319751,5319751rid
2326788,5319750,5319750rid
2326787,5319749,5319749rid
2326786,5319748,5319748rid
2326785,5319747,5319747rid
2326783,5319746,5319746rid
2326782,5319745,5319745rid
2326781,5319744,5319744rid
2326780,5319743,5319743rid
2326779,5319742,5319742rid
2326778,5319741,5319741rid
2326777,5319740,5319740rid
2326776,5319739,5319739rid
2326775,5319738,5319738rid
2326774,5319737,5319737rid
2326773,5319736,5319736rid
2326771,5319735,5319735rid
2326770,5319734,5319734rid
2326768,5319733,5319733rid
2326767,5319732,5319732rid
2326766,5319731,5319731rid
2326698,5319730,5319730rid
2326697,5319729,5319729rid
2326696,5319728,5319728rid
2326695,5319727,5319727rid
2326694,5319726,5319726rid
2326693,5319725,5319725rid
2326692,5319724,5319724rid
2326691,5319723,5319723rid
2326690,5319722,5319722rid
2326649,5319721,5319721rid
2326648,5319720,5319720rid
2326647,5319719,5319719rid
2326636,5319718,5319718rid
2326635,5319717,5319717rid
2326632,5319716,5319716rid
2326631,5319715,5319715rid
2326630,5319714,5319714rid
2326629,5319713,5319713rid
2326625,5319712,5319712rid
2326624,5319711,5319711rid
2326623,5319710,5319710rid
2326622,5319709,5319709rid
2326621,5319708,5319708rid
2326619,5319707,5319707rid
2326618,5319706,5319706rid
2326617,5319705,5319705rid
2326616,5319704,5319704rid
2326612,5319703,5319703rid
2326611,5319702,5319702rid
2326610,5319701,5319701rid
2326608,5319700,5319700rid
2326607,5319699,5319699rid
2326606,5319698,5319698rid
2326605,5319697,5319697rid
2326604,5319696,5319696rid
2326603,5319695,5319695rid
2326601,5319694,5319694rid
2326596,5319693,5319693rid
2326595,5319692,5319692rid
2326594,5319691,5319691rid
2326585,5319690,5319690rid
2326584,5319689,5319689rid
2326581,5319688,5319688rid
2326579,5319687,5319687rid
2326578,5319686,5319686rid
2326576,5319685,5319685rid
2326575,5319684,5319684rid
2326574,5319683,5319683rid
2326572,5319682,5319682rid
2326571,5319681,5319681rid
2326570,5319680,5319680rid
2326569,5319679,5319679rid
2326567,5319678,5319678rid
2326566,5319677,5319677rid
2326518,5319676,5319676rid
2326517,5319675,5319675rid
2326516,5319674,5319674rid
2326515,5319673,5319673rid
2326514,5319672,5319672rid
2326513,5319671,5319671rid
2326512,5319670,5319670rid
2326511,5319669,5319669rid
2326510,5319668,5319668rid
2326508,5319667,5319667rid
2326507,5319666,5319666rid
2326506,5319665,5319665rid
2326505,5319664,5319664rid
2326504,5319663,5319663rid
2326503,5319662,5319662rid
2326502,5319661,5319661rid
2326501,5319660,5319660rid
2326500,5319659,5319659rid
2326494,5319658,5319658rid
2326493,5319657,5319657rid
2326492,5319656,5319656rid
2326491,5319655,5319655rid
2326490,5319654,5319654rid
2326489,5319653,5319653rid
2326488,5319652,5319652rid
2326487,5319651,5319651rid
2326486,5319650,5319650rid
2326414,5319649,5319649rid
2326413,5319648,5319648rid
2326412,5319647,5319647rid
2326410,5319646,5319646rid
2326409,5319645,5319645rid
2326408,5319644,5319644rid
2326407,5319643,5319643rid
2326406,5319642,5319642rid
2326405,5319641,5319641rid
2326348,5319640,5319640rid
2326347,5319639,5319639rid
2326346,5319638,5319638rid
2326345,5319637,5319637rid
2326341,5319636,5319636rid
2326340,5319635,5319635rid
2326338,5319634,5319634rid
2326337,5319633,5319633rid
2326336,5319632,5319632rid
2325709,5319631,5319631rid
2325708,5319630,5319630rid
2325707,5319629,5319629rid
2325703,5319628,5319628rid
2325702,5319627,5319627rid
2325701,5319626,5319626rid
2325700,5319625,5319625rid
2325699,5319624,5319624rid
2325695,5319623,5319623rid
2325622,5319622,5319622rid
2325621,5319621,5319621rid
2325620,5319620,5319620rid
2325619,5319619,5319619rid
2325618,5319618,5319618rid
2325617,5319617,5319617rid
2325616,5319616,5319616rid
2325615,5319615,5319615rid
2325613,5319614,5319614rid
2324242,5319613,5319613rid
2324241,5319612,5319612rid
2324237,5319611,5319611rid
2324229,5319610,5319610rid
2324213,5319609,5319609rid
2324212,5319608,5319608rid
2324201,5319607,5319607rid
2324199,5319606,5319606rid
2324194,5319605,5319605rid
2324193,5319604,5319604rid
2324191,5319603,5319603rid
2324186,5319602,5319602rid
2324185,5319601,5319601rid
2324184,5319600,5319600rid
2324183,5319599,5319599rid
2324180,5319598,5319598rid
2324178,5319597,5319597rid
2324175,5319596,5319596rid
2324173,5319595,5319595rid
2324171,5319594,5319594rid
2324167,5319593,5319593rid
2324166,5319592,5319592rid
2324164,5319591,5319591rid
2324162,5319590,5319590rid
2324152,5319589,5319589rid
2324151,5319588,5319588rid
2324134,5319587,5319587rid
2323977,5319586,5319586rid
2323976,5319585,5319585rid
2323975,5319584,5319584rid
2323974,5319583,5319583rid
2323973,5319582,5319582rid
2323972,5319581,5319581rid
2323971,5319580,5319580rid
2323970,5319579,5319579rid
2323969,5319578,5319578rid
2323967,5319577,5319577rid
2323966,5319576,5319576rid
2323965,5319575,5319575rid
2323964,5319574,5319574rid
2323963,5319573,5319573rid
2323962,5319572,5319572rid
2323961,5319571,5319571rid
2323960,5319570,5319570rid
2323959,5319569,5319569rid
2323904,5319568,5319568rid
